"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GSTZ1",1.45881834904201e-21,0.442941691912605,0.407,0.296,2.52915337173413e-17,"PC SFRP2","GSTZ1"
"PRDX41",4.15355095555242e-21,0.372145124038567,0.56,0.438,7.20101129164124e-17,"PC SFRP2","PRDX4"
"SOX212",6.8381833728034e-21,0.326963481217624,0.218,0.122,1.18553585134293e-16,"PC SFRP2","SOX21"
"LSM7",9.33951706602983e-21,0.301855115997558,0.792,0.73,1.61919207373759e-16,"PC SFRP2","LSM7"
"PARK7",1.08751506364664e-20,0.286175527097626,0.824,0.755,1.88542486584418e-16,"PC SFRP2","PARK7"
"PDLIM31",1.27420272430986e-20,0.335255219771786,0.154,0.076,2.20908526313601e-16,"PC SFRP2","PDLIM3"
"FAM120AOS",3.46637166578264e-20,0.442703936763534,0.395,0.29,6.00964855696736e-16,"PC SFRP2","FAM120AOS"
"RCN11",3.96464927486071e-20,0.38471986534726,0.497,0.388,6.87351244782602e-16,"PC SFRP2","RCN1"
"PMVK1",1.2025403169145e-19,0.414265150775349,0.339,0.232,2.08484414743467e-15,"PC SFRP2","PMVK"
"VDAC3",2.08600182700854e-19,0.342344338574049,0.691,0.599,3.6165013674847e-15,"PC SFRP2","VDAC3"
"HIKESHI",2.89173552931626e-19,0.336581557756933,0.622,0.524,5.0134018871756e-15,"PC SFRP2","HIKESHI"
"DNAJA1",7.58071386895877e-19,0.318719614215621,0.776,0.709,1.31426836346138e-14,"PC SFRP2","DNAJA1"
"RCN2",1.08181866357198e-18,0.333237020550561,0.732,0.663,1.87554901703474e-14,"PC SFRP2","RCN2"
"POU3F21",1.08367003184082e-18,0.340969095987554,0.17,0.091,1.87875873420242e-14,"PC SFRP2","POU3F2"
"LTV1",1.18308942162322e-18,0.381768565006189,0.25,0.156,2.05112213026818e-14,"PC SFRP2","LTV1"
"STOML2",1.78613991338522e-18,0.292287478515825,0.734,0.66,3.09663076783596e-14,"PC SFRP2","STOML2"
"THOC7",1.89184638801021e-18,0.353430878364088,0.539,0.43,3.27989408289331e-14,"PC SFRP2","THOC7"
"DNAJC19",2.06193972994274e-18,0.33474973170643,0.614,0.516,3.57478490980173e-14,"PC SFRP2","DNAJC19"
"VEPH1",3.35321609178455e-18,0.385209780302229,0.166,0.091,5.81347073832687e-14,"PC SFRP2","VEPH1"
"CLTA",4.4051415350517e-18,0.283993346457495,0.84,0.785,7.63719387931913e-14,"PC SFRP2","CLTA"
"XRCC5",7.6202727969267e-18,0.321416515256631,0.681,0.596,1.32112669480318e-13,"PC SFRP2","XRCC5"
"IDI12",7.82536037725901e-18,0.39397771327937,0.439,0.333,1.35668272860539e-13,"PC SFRP2","IDI1"
"UQCRQ1",9.54842627971984e-18,0.300802467903307,0.755,0.678,1.65541066411503e-13,"PC SFRP2","UQCRQ"
"MDH1",1.56886940182658e-17,0.317595509492551,0.687,0.602,2.71994888194675e-13,"PC SFRP2","MDH1"
"SVBP",1.86234875064568e-17,0.354025653849987,0.573,0.486,3.22875402899441e-13,"PC SFRP2","SVBP"
"PDIA6",1.99698489631073e-17,0.318910582780569,0.649,0.564,3.46217271473391e-13,"PC SFRP2","PDIA6"
"SEM1",2.3938205179285e-17,0.26076986073617,0.806,0.742,4.15016663193265e-13,"PC SFRP2","SEM1"
"PSMB1",2.47763416549994e-17,0.280185353983491,0.792,0.725,4.29547435272725e-13,"PC SFRP2","PSMB1"
"AFDN1",6.18128904472622e-17,0.389379898541181,0.399,0.297,1.07165008168418e-12,"PC SFRP2","AFDN"
"KRT10",6.95752084903305e-17,0.317531914398292,0.606,0.518,1.20622538959686e-12,"PC SFRP2","KRT10"
"TLE11",7.19980460208516e-17,0.38819745331745,0.24,0.154,1.2482301238635e-12,"PC SFRP2","TLE1"
"FAT4",7.38194241753887e-17,0.325549473940548,0.112,0.054,1.27980735692871e-12,"PC SFRP2","FAT4"
"TAFA5",1.02765077735217e-16,0.38326268327602,0.207,0.126,1.78163815269545e-12,"PC SFRP2","TAFA5"
"CCT2",1.67153463398419e-16,0.280993154614069,0.755,0.685,2.89793959493839e-12,"PC SFRP2","CCT2"
"SNRPD3",2.74084975318067e-16,0.276158811780822,0.795,0.746,4.75181121708933e-12,"PC SFRP2","SNRPD3"
"SCUBE3",3.27457435084615e-16,0.295238932635934,0.143,0.076,5.67712955206196e-12,"PC SFRP2","SCUBE3"
"TXNL4A",3.89891187941061e-16,0.334695917971291,0.633,0.564,6.75954352533417e-12,"PC SFRP2","TXNL4A"
"ENY2",5.47530459697408e-16,0.307540101568596,0.722,0.65,9.49253557977395e-12,"PC SFRP2","ENY2"
"BCHE",6.38056023350907e-16,0.285606777375635,0.119,0.06,1.10619772768347e-11,"PC SFRP2","BCHE"
"SEC61B1",6.95462880140275e-16,0.291358634591588,0.786,0.729,1.20572399529919e-11,"PC SFRP2","SEC61B"
"LRRC17",7.4499430197869e-16,0.328108710679379,0.138,0.073,1.29159662134045e-11,"PC SFRP2","LRRC17"
"MRPL41",7.73980072785104e-16,0.323821418592546,0.613,0.548,1.34184925218754e-11,"PC SFRP2","MRPL41"
"PFDN21",7.80696730921494e-16,0.277285739094327,0.664,0.573,1.35349392239859e-11,"PC SFRP2","PFDN2"
"ADGRL2",8.86891096090451e-16,0.302699027250813,0.18,0.105,1.53760309329201e-11,"PC SFRP2","ADGRL2"
"ISYNA12",9.74919774911889e-16,0.352932958904791,0.548,0.465,1.69021841376474e-11,"PC SFRP2","ISYNA1"
"SLC1A31",1.07817265110851e-15,0.309653340256862,0.183,0.106,1.86922792522683e-11,"PC SFRP2","SLC1A3"
"TMEM158",1.10391812074971e-15,0.326297389177345,0.115,0.057,1.91386284594376e-11,"PC SFRP2","TMEM158"
"PPIB",1.10608299837602e-15,0.309093149430945,0.741,0.669,1.9176160942845e-11,"PC SFRP2","PPIB"
"FDFT12",1.43843145929435e-15,0.35982207323297,0.397,0.302,2.49380862097862e-11,"PC SFRP2","FDFT1"
"BTG3",1.64434117023093e-15,0.333964375418637,0.459,0.364,2.85079428682937e-11,"PC SFRP2","BTG3"
"LMO31",1.81879187398899e-15,0.320444852989234,0.186,0.109,3.15323947193471e-11,"PC SFRP2","LMO3"
"NPM1",2.03816135299241e-15,0.308752647678385,0.707,0.637,3.53356033768294e-11,"PC SFRP2","NPM1"
"ADH5",3.87148943155573e-15,0.332028688763948,0.656,0.592,6.71200122748816e-11,"PC SFRP2","ADH5"
"NDUFS6",4.6430111356292e-15,0.274897909245821,0.764,0.697,8.04958840584035e-11,"PC SFRP2","NDUFS6"
"DKK31",5.28729867266389e-15,0.315015009721955,0.221,0.139,9.16658970879739e-11,"PC SFRP2","DKK3"
"LSM4",6.1733446479515e-15,0.25341151534277,0.812,0.772,1.07027276161535e-10,"PC SFRP2","LSM4"
"ATP5F1C",9.3765581998955e-15,0.282524085876633,0.733,0.669,1.62561389511588e-10,"PC SFRP2","ATP5F1C"
"PSMA2",1.01069533904625e-14,0.251536906487348,0.832,0.779,1.75224250930448e-10,"PC SFRP2","PSMA2"
"LSM3",1.04070245473395e-14,0.264124661141669,0.741,0.672,1.80426584577225e-10,"PC SFRP2","LSM3"
"UBE2E3",1.44379500644668e-14,0.272540046576009,0.775,0.731,2.5031074026766e-10,"PC SFRP2","UBE2E3"
"LTBP1",3.17915328715718e-14,0.271950272791221,0.125,0.067,5.5116980539444e-10,"PC SFRP2","LTBP1"
"EXOSC8",5.21525906000593e-14,0.307353852434895,0.443,0.349,9.04169463233228e-10,"PC SFRP2","EXOSC8"
"CHD22",6.90877215552491e-14,0.283254339557557,0.684,0.603,1.19777382860335e-09,"PC SFRP2","CHD2"
"LSM6",9.20676023221403e-14,0.25555697837059,0.67,0.607,1.59617602145895e-09,"PC SFRP2","LSM6"
"MRPL11",2.52286524297074e-13,0.26651053142711,0.637,0.552,4.37389147173838e-09,"PC SFRP2","MRPL11"
"ZBTB18",2.90048093850966e-13,0.304146733218339,0.149,0.087,5.02856380309421e-09,"PC SFRP2","ZBTB18"
"PLXDC21",3.10029219002095e-13,0.313654767016969,0.14,0.081,5.37497656983932e-09,"PC SFRP2","PLXDC2"
"FAM204A",4.0810836331464e-13,0.336786047753026,0.513,0.439,7.07537469478592e-09,"PC SFRP2","FAM204A"
"RHOBTB31",4.12212971641574e-13,0.326377267662714,0.385,0.296,7.14653628934996e-09,"PC SFRP2","RHOBTB3"
"VDAC2",5.36225040651636e-13,0.264260382698548,0.715,0.666,9.29653352977742e-09,"PC SFRP2","VDAC2"
"MRPL13",5.69609694251161e-13,0.304850631713247,0.475,0.39,9.87532326923238e-09,"PC SFRP2","MRPL13"
"RND21",5.77449281650999e-13,0.295037054997422,0.174,0.107,1.00112381959834e-08,"PC SFRP2","RND2"
"HSP90B11",9.27703736210299e-13,0.285942595531789,0.779,0.725,1.6083599674678e-08,"PC SFRP2","HSP90B1"
"RER1",1.27736196577238e-12,0.329544992163159,0.431,0.352,2.21456244005957e-08,"PC SFRP2","RER1"
"GLRX5",1.93777191587982e-12,0.341982748105061,0.447,0.369,3.35951517056084e-08,"PC SFRP2","GLRX5"
"NAE1",2.10945848200274e-12,0.294693327081146,0.468,0.385,3.65716817024815e-08,"PC SFRP2","NAE1"
"CENPH",2.30917167147441e-12,0.258452970492797,0.194,0.124,4.00341092683519e-08,"PC SFRP2","CENPH"
"CNIH4",2.49838462422115e-12,0.309300416339026,0.501,0.43,4.33144942301221e-08,"PC SFRP2","CNIH4"
"FZD71",2.97796240747035e-12,0.263720602283799,0.103,0.054,5.16289342583134e-08,"PC SFRP2","FZD7"
"KIF5C1",4.0277850101115e-12,0.320210652007372,0.333,0.248,6.9829708720303e-08,"PC SFRP2","KIF5C"
"SEPTIN111",6.14240709042547e-12,0.271014361001626,0.54,0.452,1.06490911726706e-07,"PC SFRP2","SEPTIN11"
"LIMCH11",8.70201510887468e-12,0.287341605750442,0.231,0.156,1.5086683594256e-07,"PC SFRP2","LIMCH1"
"MRPS21",1.57727962882004e-11,0.252425237081022,0.654,0.582,2.7345296924853e-07,"PC SFRP2","MRPS21"
"RIDA",2.18751035003801e-11,0.324893314508705,0.414,0.339,3.7924866938609e-07,"PC SFRP2","RIDA"
"COTL14",2.40316646934723e-11,0.326976340600009,0.29,0.215,4.16636970790729e-07,"PC SFRP2","COTL1"
"EXTL2",3.21476369065246e-11,0.357782910930295,0.286,0.213,5.57343581048418e-07,"PC SFRP2","EXTL2"
"SGCE1",3.2638503059278e-11,0.786342702329108,0.239,0.174,5.65853727538702e-07,"PC SFRP2","SGCE"
"SPIRE1",8.5777355443061e-11,0.281073175035897,0.144,0.089,1.48712201131635e-06,"PC SFRP2","SPIRE1"
"WASHC3",9.23466224318527e-11,0.270627309752615,0.435,0.355,1.60101339310103e-06,"PC SFRP2","WASHC3"
"RRM21",9.41218178092593e-11,0.322345074729687,0.339,0.26,1.63178995535913e-06,"PC SFRP2","RRM2"
"TCEA1",9.74927229090773e-11,0.312302410840787,0.479,0.407,1.69023133707467e-06,"PC SFRP2","TCEA1"
"FGFR31",1.21594595739343e-10,0.270958767994294,0.22,0.151,2.10808550633299e-06,"PC SFRP2","FGFR3"
"CCNB21",1.42392001835404e-10,0.42740144431345,0.379,0.309,2.4686501358204e-06,"PC SFRP2","CCNB2"
"ZNF706",1.91123122617835e-10,0.258180540304134,0.58,0.519,3.31350157682541e-06,"PC SFRP2","ZNF706"
"TRAPPC51",2.25083876603666e-10,0.290592470665193,0.552,0.486,3.90227916867776e-06,"PC SFRP2","TRAPPC5"
"LRPAP11",2.97797455744342e-10,0.257446317110098,0.575,0.508,5.16291449023966e-06,"PC SFRP2","LRPAP1"
"TOX32",3.7691950847645e-10,0.258012882121276,0.244,0.172,6.53465351845621e-06,"PC SFRP2","TOX3"
"TKT",4.75369881534296e-10,0.250072903215452,0.628,0.558,8.2414876361601e-06,"PC SFRP2","TKT"
"SSBP1",5.3236289854938e-10,0.258359015917101,0.582,0.526,9.2295755721506e-06,"PC SFRP2","SSBP1"
"PTTG13",6.09400845569922e-10,0.443944138130731,0.53,0.455,1.05651824596457e-05,"PC SFRP2","PTTG1"
"HNRNPAB1",6.30201219001988e-10,0.27701010466541,0.612,0.559,1.09257985338375e-05,"PC SFRP2","HNRNPAB"
"CDC26",6.61370190387421e-10,0.305112897796841,0.406,0.339,1.14661749907467e-05,"PC SFRP2","CDC26"
"ALYREF",7.0121368451406e-10,0.277680175605739,0.276,0.205,1.21569416484203e-05,"PC SFRP2","ALYREF"
"CEMIP21",7.20169729206003e-10,0.285714560019634,0.102,0.058,1.24855825952445e-05,"PC SFRP2","CEMIP2"
"PSMA6",7.55974493452156e-10,0.265039215257857,0.528,0.457,1.310632979298e-05,"PC SFRP2","PSMA6"
"NDUFB11",8.11911388029526e-10,0.250673887524524,0.632,0.578,1.40761077342679e-05,"PC SFRP2","NDUFB11"
"MRPL23",1.21361347564632e-09,0.263039442371551,0.601,0.551,2.10404168272802e-05,"PC SFRP2","MRPL23"
"CYB5A",1.37042080593453e-09,0.289459170227013,0.284,0.215,2.3758985512487e-05,"PC SFRP2","CYB5A"
"MAGOHB",3.75441217294425e-09,0.281104511206954,0.424,0.357,6.50902438423344e-05,"PC SFRP2","MAGOHB"
"UBE2V2",3.79394250319032e-09,0.255003977730244,0.455,0.389,6.57755811778107e-05,"PC SFRP2","UBE2V2"
"IMMP1L1",4.03637391574014e-09,0.267605672183815,0.369,0.301,6.99786145771869e-05,"PC SFRP2","IMMP1L"
"GSX21",8.43419975925447e-09,0.253814419136966,0.13,0.081,0.000146223721226195,"PC SFRP2","GSX2"
"ARMC10",9.21446790695777e-09,0.272223913602424,0.297,0.231,0.000159751230102927,"PC SFRP2","ARMC10"
"DNAJA2",9.70876338046333e-09,0.263057536040136,0.265,0.201,0.000168320830727093,"PC SFRP2","DNAJA2"
"APOO",1.13101107432742e-08,0.261511368887563,0.263,0.199,0.000196083389956146,"PC SFRP2","APOO"
"HIST2H2AC2",1.36081926958009e-08,0.471510676759292,0.261,0.202,0.000235925236767101,"PC SFRP2","HIST2H2AC"
"SC5D",1.78862677298926e-08,0.277068889030385,0.249,0.188,0.000310094223633149,"PC SFRP2","SC5D"
"RNF7",2.47626616577862e-08,0.280575953727542,0.421,0.359,0.00042931026516104,"PC SFRP2","RNF7"
"RDM1",4.13884097846726e-08,0.272435178317896,0.233,0.175,0.000717550860436869,"PC SFRP2","RDM1"
"PKN2",4.48340506309662e-08,0.265003481762988,0.352,0.286,0.000777287935789061,"PC SFRP2","PKN2"
"SMARCB1",4.72955487153612e-08,0.25129304679457,0.514,0.462,0.000819962928078217,"PC SFRP2","SMARCB1"
"LSAMP2",5.48129249042113e-08,0.303295084819033,0.191,0.137,0.000950291679064312,"PC SFRP2","LSAMP"
"PON22",7.67165039533828e-08,0.295134489645974,0.266,0.207,0.0013300340290398,"PC SFRP2","PON2"
"COMMD1",9.08572044360305e-07,0.258851012558916,0.373,0.325,0.0157519135330746,"PC SFRP2","COMMD1"
"TAF10",1.01277225534422e-06,0.251461326187315,0.373,0.319,0.0175584325909028,"PC SFRP2","TAF10"
"LOC1146776712",6.25994672616398e-06,0.517366324238365,0.435,0.389,0.108528696391505,"PC SFRP2","LOC114677671"
"CDKN31",1.76501739777664e-05,0.259604991972171,0.258,0.209,0.306001066252535,"PC SFRP2","CDKN3"
"UBE2S2",1.89080166483514e-05,0.346370816046873,0.467,0.433,0.327808284632469,"PC SFRP2","UBE2S"
"NTS",0,4.76068016471546,0.832,0.007,0,"PC TCF7L2","NTS"
"APCDD1",0,2.33980872938151,0.694,0.06,0,"PC TCF7L2","APCDD1"
"GRID2",0,1.82281630897573,0.651,0.092,0,"PC TCF7L2","GRID2"
"WNT4",0,1.81528710442059,0.522,0.004,0,"PC TCF7L2","WNT4"
"BARHL2",0,1.05281895300603,0.285,0.003,0,"PC TCF7L2","BARHL2"
"PDZRN4",0,0.925648219015187,0.268,0.012,0,"PC TCF7L2","PDZRN4"
"IRX3",0,0.923927859688928,0.241,0.002,0,"PC TCF7L2","IRX3"
"SHOX2",0,0.902817103530744,0.202,0.001,0,"PC TCF7L2","SHOX2"
"WNT3",0,0.827941735999505,0.214,0.008,0,"PC TCF7L2","WNT3"
"FZD10",0,0.649998313763549,0.167,0.003,0,"PC TCF7L2","FZD10"
"PDIA5",7.73688983674408e-293,0.978898749612302,0.272,0.025,1.34134459099632e-288,"PC TCF7L2","PDIA5"
"IRX5",2.7151625117177e-285,0.442976129009741,0.111,0.001,4.70727724656497e-281,"PC TCF7L2","IRX5"
"IGFBPL11",2.65143967936049e-277,1.67384522155091,0.529,0.118,4.59680097210729e-273,"PC TCF7L2","IGFBPL1"
"CLYBL2",7.9158303164776e-275,1.38352922440487,0.592,0.147,1.37236750196772e-270,"PC TCF7L2","CLYBL"
"NTNG1",6.49058629090753e-269,0.902946513897811,0.252,0.023,1.12527294525464e-264,"PC TCF7L2","NTNG1"
"CNTNAP21",1.97170068774644e-255,1.43095566691279,0.711,0.246,3.41833748234601e-251,"PC TCF7L2","CNTNAP2"
"IRX2",1.46663901486656e-213,0.498374029356021,0.124,0.005,2.54271206007415e-209,"PC TCF7L2","IRX2"
"VIM2",1.55752227591174e-189,0.79776221104953,1,0.991,2.70027636974818e-185,"PC TCF7L2","VIM"
"TCF7L22",5.44069712630755e-187,1.27651453386286,0.598,0.2,9.43253660787939e-183,"PC TCF7L2","TCF7L2"
"SIPA1L21",2.86266858547983e-183,1.09209564468814,0.558,0.171,4.96300852664637e-179,"PC TCF7L2","SIPA1L2"
"FST1",2.04784008322437e-181,1.07021272323245,0.425,0.102,3.55034035228609e-177,"PC TCF7L2","FST"
"TPD52",2.84538534147902e-159,0.570301231197677,0.167,0.017,4.93304456652218e-155,"PC TCF7L2","TPD52"
"BASP12",5.43327623124866e-150,0.979351137381396,0.944,0.695,9.41967100211581e-146,"PC TCF7L2","BASP1"
"OTX11",3.94297808863835e-141,0.747326346244686,0.258,0.049,6.83594111227231e-137,"PC TCF7L2","OTX1"
"NEUROG21",1.8638632821398e-138,0.924245733401743,0.269,0.055,3.23137977224577e-134,"PC TCF7L2","NEUROG2"
"LHFPL61",2.14055486247127e-135,0.883117760386722,0.364,0.095,3.71107996506644e-131,"PC TCF7L2","LHFPL6"
"RPS73",1.54522844020674e-134,0.457071879303331,1,0.999,2.67896254678642e-130,"PC TCF7L2","RPS7"
"RSRC1",1.04364181090776e-125,0.975446597774882,0.488,0.177,1.80936180757079e-121,"PC TCF7L2","RSRC1"
"SOCS1",6.12850987745008e-121,0.49789182341787,0.124,0.012,1.06249975745352e-116,"PC TCF7L2","SOCS1"
"TIFA1",7.74611719158145e-118,0.852402606077218,0.344,0.098,1.34294433750448e-113,"PC TCF7L2","TIFA"
"VCAM11",4.19113811591093e-108,0.572879077589658,0.203,0.038,7.26617615155478e-104,"PC TCF7L2","VCAM1"
"FUOM2",8.85242892453487e-108,0.87880289885705,0.81,0.494,1.53474560264661e-103,"PC TCF7L2","FUOM"
"FAU",1.31742999509411e-106,0.422904112508867,0.999,0.994,2.28402838249465e-102,"PC TCF7L2","FAU"
"RPL301",3.96257502852184e-101,0.431258764725892,1,0.995,6.86991632694832e-97,"PC TCF7L2","RPL30"
"CMTM7",4.73022056914329e-101,0.463322217188088,0.129,0.017,8.20078340072372e-97,"PC TCF7L2","CMTM7"
"KLHDC8A",1.22194603652108e-98,0.655106740516215,0.213,0.046,2.1184878435166e-94,"PC TCF7L2","KLHDC8A"
"RAB342",4.98054767042895e-94,0.816041860140192,0.379,0.133,8.63477549622267e-90,"PC TCF7L2","RAB34"
"GAPDH1",3.92282538958942e-92,0.423619230225197,0.997,0.991,6.80100237793117e-88,"PC TCF7L2","GAPDH"
"POU3F22",5.44132896959218e-92,0.638189624447083,0.296,0.084,9.43363203458196e-88,"PC TCF7L2","POU3F2"
"SORCS21",9.6210164133381e-92,0.589073081181108,0.25,0.064,1.66799561558043e-87,"PC TCF7L2","SORCS2"
"PTN2",2.12148222600423e-85,0.806197328674043,0.827,0.583,3.67801373522353e-81,"PC TCF7L2","PTN"
"RPL181",6.10615800726938e-85,0.368818924134447,1,0.996,1.05862461372029e-80,"PC TCF7L2","RPL18"
"S100A131",2.21749996965707e-84,0.735571971062175,0.286,0.088,3.84447969739446e-80,"PC TCF7L2","S100A13"
"RPL22L11",9.49521329863606e-84,0.659893842488014,0.918,0.772,1.64618512958453e-79,"PC TCF7L2","RPL22L1"
"C11H12orf752",2.68919570147167e-83,0.789445136859789,0.511,0.229,4.66225858764144e-79,"PC TCF7L2","C11H12orf75"
"SLC2A11",4.91045607776811e-83,0.702694556157959,0.311,0.101,8.51325770202657e-79,"PC TCF7L2","SLC2A1"
"RNF43",3.85677977658041e-82,0.437238987956615,0.137,0.023,6.68649909865746e-78,"PC TCF7L2","RNF43"
"CSPG5",3.12302746605281e-80,0.627990915382375,0.226,0.06,5.41439271789575e-76,"PC TCF7L2","CSPG5"
"WLS2",2.10765106005246e-74,0.588044066893834,0.554,0.249,3.65403464281295e-70,"PC TCF7L2","WLS"
"S100A101",5.61519227492102e-73,0.70571486166578,0.362,0.139,9.73505884703058e-69,"PC TCF7L2","S100A10"
"RPL51",2.10152872970577e-72,0.359419130938448,0.998,0.995,3.6434203586909e-68,"PC TCF7L2","RPL5"
"EHBP11",4.5925621561294e-71,0.732342256394146,0.365,0.145,7.96212501008154e-67,"PC TCF7L2","EHBP1"
"TEX261",8.20704815946284e-70,0.475344179909653,0.143,0.029,1.42285593940607e-65,"PC TCF7L2","TEX26"
"H2AFZ1",9.73898035168269e-69,0.478807007172488,0.992,0.965,1.68844702357123e-64,"PC TCF7L2","H2AFZ"
"CENPV1",6.94715269155551e-67,0.492385349074171,0.975,0.848,1.20442786213498e-62,"PC TCF7L2","CENPV"
"PDPN2",5.50860098292386e-66,0.701664672851942,0.353,0.141,9.55026152409509e-62,"PC TCF7L2","PDPN"
"OAZ1",2.31013457615651e-65,0.539904188597886,0.934,0.818,4.00508031468253e-61,"PC TCF7L2","OAZ1"
"ID32",8.82697856632354e-65,0.643997050545747,0.486,0.228,1.53033327404351e-60,"PC TCF7L2","ID3"
"SDC21",1.07344189469066e-63,0.649589943897622,0.298,0.112,1.8610262128252e-59,"PC TCF7L2","SDC2"
"SRSF9",2.25367429616062e-63,0.529420206095696,0.897,0.674,3.90719512725367e-59,"PC TCF7L2","SRSF9"
"S100A6",2.51510852328895e-63,0.446555924310477,0.162,0.039,4.36044364682605e-59,"PC TCF7L2","S100A6"
"NECAB21",5.38464392692113e-61,0.37245874512289,0.122,0.025,9.33535717610316e-57,"PC TCF7L2","NECAB2"
"HINT1",8.20847544053344e-60,0.385328292016729,0.987,0.951,1.42310338712528e-55,"PC TCF7L2","HINT1"
"RPS9",1.18821589887122e-59,0.2951990772818,1,0.996,2.06000990387303e-55,"PC TCF7L2","RPS9"
"NELL22",2.10651254028991e-59,0.601059016765945,0.378,0.162,3.65206079110061e-55,"PC TCF7L2","NELL2"
"TMSB101",3.15838381129219e-59,0.365597992664719,1,0.991,5.47569001363727e-55,"PC TCF7L2","TMSB10"
"SERBP1",3.89866884744121e-57,0.462534364992954,0.94,0.861,6.75912218080883e-53,"PC TCF7L2","SERBP1"
"RPS232",5.35298448059793e-55,0.280007053845066,0.998,0.994,9.28046919401264e-51,"PC TCF7L2","RPS23"
"ARL4A1",1.13335596300371e-53,0.624668307992423,0.4,0.189,1.96489923305953e-49,"PC TCF7L2","ARL4A"
"RPL221",5.7723866155338e-53,0.334723269937408,0.996,0.976,1.0007586675351e-48,"PC TCF7L2","RPL22"
"CITED22",9.69249817005134e-53,0.566626115096547,0.265,0.101,1.6803884077418e-48,"PC TCF7L2","CITED2"
"BZW2",2.39038106509791e-51,0.628572372744283,0.451,0.23,4.14420365256025e-47,"PC TCF7L2","BZW2"
"CA14",2.42615653189287e-50,0.358903020800018,0.114,0.025,4.20622757934267e-46,"PC TCF7L2","CA14"
"SVBP1",9.14079786772508e-50,0.615637118031469,0.708,0.479,1.5847401263275e-45,"PC TCF7L2","SVBP"
"DNAJC21",1.97040928270004e-48,0.568660335635551,0.319,0.14,3.41609857341706e-44,"PC TCF7L2","DNAJC21"
"RTRAF1",1.37884789169055e-47,0.427550581883959,0.939,0.821,2.3905085898239e-43,"PC TCF7L2","RTRAF"
"PNMA21",8.5923535653756e-47,0.473790375619811,0.193,0.065,1.48965633762917e-42,"PC TCF7L2","PNMA2"
"ACAT23",9.35604836901935e-47,0.561169651515402,0.757,0.539,1.62205810573688e-42,"PC TCF7L2","ACAT2"
"NPM11",1.21147400946736e-46,0.495135812850385,0.833,0.629,2.10033249021357e-42,"PC TCF7L2","NPM1"
"FYN1",6.04134522512752e-46,0.522003990929779,0.428,0.217,1.04738802168036e-41,"PC TCF7L2","FYN"
"NR2F13",6.97172980714561e-45,0.446162487860715,0.745,0.474,1.20868879666484e-40,"PC TCF7L2","NR2F1"
"BCHE1",1.3126495935883e-44,0.417927434196451,0.177,0.057,2.27574060040403e-40,"PC TCF7L2","BCHE"
"FDPS3",4.00772885834056e-44,0.466763081704355,0.853,0.652,6.94819952170503e-40,"PC TCF7L2","FDPS"
"SELENOH",2.06320471968495e-43,0.419406208942832,0.918,0.779,3.57697802251779e-39,"PC TCF7L2","SELENOH"
"MLLT31",1.2418504674183e-42,0.543888562447614,0.286,0.126,2.15299615536311e-38,"PC TCF7L2","MLLT3"
"LSM71",1.57926258976451e-42,0.465744211642606,0.873,0.726,2.73796755187473e-38,"PC TCF7L2","LSM7"
"NDUFS41",2.07764833994696e-42,0.495449040172625,0.759,0.565,3.60201892696605e-38,"PC TCF7L2","NDUFS4"
"STMN11",2.18961463269074e-42,0.320664714582149,0.998,0.987,3.79613488869594e-38,"PC TCF7L2","STMN1"
"CLTA1",3.08324958546726e-42,0.428113483114213,0.908,0.781,5.34542980632459e-38,"PC TCF7L2","CLTA"
"FAM120AOS1",4.70726618527033e-42,0.539961395970049,0.501,0.285,8.16098738540317e-38,"PC TCF7L2","FAM120AOS"
"CBX1",6.66129347861488e-42,0.475941662670044,0.836,0.673,1.15486845038746e-37,"PC TCF7L2","CBX1"
"RHEB1",1.2068270937876e-41,0.499123652246515,0.823,0.668,2.09227613249955e-37,"PC TCF7L2","RHEB"
"PHPT12",1.24407321890649e-41,0.361817015268801,0.948,0.858,2.15684973961819e-37,"PC TCF7L2","PHPT1"
"EIF3K",3.07189730880734e-41,0.370972092426539,0.963,0.875,5.32574836427928e-37,"PC TCF7L2","EIF3K"
"TCEAL72",1.26238280858227e-40,0.53382024794996,0.555,0.341,2.18859307523909e-36,"PC TCF7L2","TCEAL7"
"GLRX51",1.64929814569309e-40,0.507325717303329,0.584,0.361,2.85938819518811e-36,"PC TCF7L2","GLRX5"
"FABP52",1.68253415875876e-40,0.411446442539933,0.831,0.642,2.91700947104007e-36,"PC TCF7L2","FABP5"
"PGRMC1",7.32643656887641e-40,0.43779241560791,0.898,0.779,1.2701843079461e-35,"PC TCF7L2","PGRMC1"
"CDK2AP11",1.0312454742987e-39,0.421946474234706,0.852,0.697,1.78787027879165e-35,"PC TCF7L2","CDK2AP1"
"DCBLD21",1.70248526584089e-39,0.477579089332307,0.288,0.13,2.95159870538835e-35,"PC TCF7L2","DCBLD2"
"NCL",1.96757731005563e-39,0.381106902607758,0.946,0.876,3.41118878244344e-35,"PC TCF7L2","NCL"
"MRPL411",2.01342551404678e-39,0.502391996186292,0.735,0.541,3.4906758137029e-35,"PC TCF7L2","MRPL41"
"GSTP11",2.09211340603464e-39,0.289148133183907,0.984,0.951,3.62709701204225e-35,"PC TCF7L2","GSTP1"
"LSM41",3.83158478255807e-39,0.427713814869612,0.887,0.768,6.64281853752093e-35,"PC TCF7L2","LSM4"
